tx_alimento;vl_kcal;vl_proteina;vl_carboidrato;vl_gordura;vl_umidade;cd_usuario;tx_grupo;vl_kj;vl_lipideos;vl_colesterol;vl_fibra_alimentar;vl_cinzas;vl_calcio;vl_magnesio;vl_manganes;vl_fosforo;vl_ferro;vl_sodio;vl_potassio;vl_cobre;vl_zinco;vl_retinol;vl_re;vl_rae;vl_tiamina;vl_riboflavina;vl_piridoxina;vl_niacina;vl_vitamina_c
Carne, bovina, charque, cozido;263;36.36;0;;45.79;0;Carnes e derivados;1099.47;11.92;113.43;;3.63;14.85;12.81;0.02;100.9;3.45;1442.7;89.57;0.07;6.09;;;;0.05;0.07;;1.5;
Carne, bovina, charque, cru;249;22.71;0;;44.47;0;Carnes e derivados;1041.23;16.84;80.69;;14.49;15.18;13.36;;122.29;1.53;5875.03;236.26;0.03;3.89;;;;0.12;0.07;;1.63;
Carne, bovina, contra-filé, à milanesa;352;20.61;12.17;;42.16;0;Carnes e derivados;1471.06;24;99.36;0.37;1.05;14.67;27.04;0.27;202.95;2.9;77.09;270.96;0.1;2.86;15.08;;;0.07;0.04;;3.02;
Carne, bovina, contra-filé de costela, cru;202;19.8;0;;66.38;0;Carnes e derivados;847;13.07;52.31;;0.95;3.16;14;;163.85;1.56;38.52;245.07;0.04;4.35;3.05;3.05;3.05;0.14;0.08;;2.68;
Carne, bovina, contra-filé de costela, grelhado;275;29.88;0;;52.19;0;Carnes e derivados;1150.24;16.33;97.87;;1.15;4.29;23.57;0.01;251.89;2.79;50.88;382.74;0.08;6.68;;;;;0.19;0.17;2.75;
Carne, bovina, contra-filé, com gordura, cru;206;21.15;0;;65.75;0;Carnes e derivados;861.3;12.81;72.65;;0.92;3.67;18.16;0.01;164.2;1.31;44.13;284.65;0.04;2.79;3.59;3.59;3.59;0.11;0.08;0.03;3.79;
Carne, bovina, contra-filé, com gordura, grelhado;278;32.4;0;;51.71;0;Carnes e derivados;1163.38;15.49;143.86;;1.22;4.46;18.66;;218.54;2.35;57.07;351.86;0.09;4.78;;;;;0.18;0.13;4.91;
Carne, bovina, contra-filé, sem gordura, cru;157;24;0;;69.14;0;Carnes e derivados;655.28;6;59.46;;0.99;4.2;20.63;;183.82;1.68;52.89;334.62;0.05;3.24;;;;;0.2;;4.64;
Carne, bovina, contra-filé, sem gordura, grelhado;194;35.88;0;;57.53;0;Carnes e derivados;810.41;4.49;101.9;;1.27;5;21.06;;240.6;2.35;57.51;386.47;0.09;5.14;;;;;0.17;0.16;4.93;
Carne, bovina, costela, assada;373;28.81;0;;43.19;0;Carnes e derivados;1560.79;27.72;94.59;;0.99;28.01;19.55;;179.05;2.18;91.86;270.01;0.08;5.45;;;;;0.08;0.35;0.56;
Carne, bovina, costela, crua;358;16.71;0;;52.73;0;Carnes e derivados;1496.71;31.75;44.19;;0.9;;11.68;;129.97;1.2;70;151.16;;2.7;4.57;4.57;4.57;0.12;0.11;;5.99;
Carne, bovina, coxão duro, sem gordura, cozido;217;31.88;0;;58.53;0;Carnes e derivados;906.32;8.92;71.1;;0.88;3.98;13.79;;188.97;1.7;41.1;251.66;0.07;4.97;2.06;2.06;2.06;;;;3.26;
Carne, bovina, coxão duro, sem gordura, cru;148;21.51;0;;69.8;0;Carnes e derivados;619.09;6.22;59.98;;1.09;2.95;21.11;;188.51;1.89;48.55;357.88;0.05;2.81;2.07;2.07;2.07;0.12;0.2;;4.38;
Carne, bovina, coxão mole, sem gordura, cozido;219;32.38;0;;58.04;0;Carnes e derivados;914.94;8.91;84.15;;1.23;3.73;13.47;;182.67;2.56;43.5;238.51;0.11;4.7;2.47;2.47;2.47;;;;4.09;
Carne, bovina, coxão mole, sem gordura, cru;169;21.23;0;;68.6;0;Carnes e derivados;707.37;8.69;83.82;;1.04;2.99;20.72;;175.4;1.89;60.53;334.9;0.05;2.63;2.61;2.61;2.61;0.12;0.19;;2.32;
Carne, bovina, cupim, assado;330;28.63;0;;48.42;0;Carnes e derivados;1381.14;23.04;90.8;;0.96;7.62;18.21;;212.27;2.7;71.59;321.07;0.08;5.29;;;;;0.08;0.14;2.16;
Carne, bovina, cupim, cru;221;19.54;0;;64.83;0;Carnes e derivados;926.33;15.3;50.95;;0.88;3.57;12.76;;220.13;1.13;46.86;150.58;0.03;2.42;2.7;2.7;2.7;0.11;0.05;0.03;3.33;
Carne, bovina, fígado, cru;141;20.71;1.11;;71.33;0;Carnes e derivados;590.14;5.36;392.88;;1.49;4.16;12.42;0.26;334.16;5.63;75.92;264.5;9.01;3.46;7936.7;7936.7;7936.7;0.14;0.9;;10.66;
Carne, bovina, fígado, grelhado;225;29.86;4.2;;54.97;0;Carnes e derivados;941.51;9.01;601.47;;1.96;5.56;9.7;0.22;419.92;5.79;82.19;309.37;12.58;3.95;14574;14574;14574;0.21;2.69;;11.92;
Carne, bovina, filé mingnon, sem gordura, cru;143;21.6;0;;71.89;0;Carnes e derivados;597.74;5.61;54.76;;1.07;2.93;21.39;0.01;192.76;1.92;48.86;321.53;0.08;2.75;3.63;3.63;3.63;0.12;0.1;0.04;1.78;
Carne, bovina, filé mingnon, sem gordura, grelhado;220;32.8;0;;57;0;Carnes e derivados;919.24;8.83;102.88;;1.33;4.31;28.26;0.02;308.14;2.87;57.91;325.98;0.14;4.13;;;;0.03;0.08;0.05;4.27;
Carne, bovina, flanco, sem gordura, cozido;196;29.38;0;;61.98;0;Carnes e derivados;818.29;7.77;62;;0.86;3.53;13.61;;181.45;2.77;41.68;248.8;0.07;5.55;1.76;1.76;1.76;;;;2.32;
Carne, bovina, flanco, sem gordura, cru;141;20;0;;72.07;0;Carnes e derivados;591.87;6.22;50.3;;0.97;2.81;17.85;;166.73;1.58;54.22;324.11;0.05;4.45;2.02;2.02;2.02;0.11;0.16;;3.28;
Carne, bovina, fraldinha, com gordura, cozida;338;24.24;0;;49.72;0;Carnes e derivados;1416.06;26.05;64.87;;0.75;3.21;14.48;;160.58;2.03;38.78;206.76;0.07;6.5;;;;;0.05;0.07;1.61;
Carne, bovina, fraldinha, com gordura, crua;221;17.58;0;;65.44;0;Carnes e derivados;923.51;16.15;54.34;;0.86;3.11;16.12;0;131.4;1.54;51.2;274.12;0.04;4.19;4.64;4.64;4.64;0.08;0.07;0.03;3.56;
Carne, bovina, lagarto, cozido;222;32.86;0;;57.63;0;Carnes e derivados;930.81;9.11;55.7;;0.88;3.53;12.96;;167.27;1.85;47.54;254.44;0.05;6.96;2.9;2.9;2.9;;;;2.55;
Carne, bovina, lagarto, cru;135;20.54;0;;70.97;0;Carnes e derivados;564.27;5.23;55.79;;1.12;2.59;19.67;;184.72;1.32;53.56;361.84;0.05;2.39;1.99;1.99;1.99;0.1;0.14;0.03;2.19;
Carne, bovina, língua, cozida;315;21.37;0;;53.41;0;Carnes e derivados;1317.55;24.8;105.07;;0.66;5.93;11.54;0.01;136.46;2.07;59.06;175.29;0.08;4.09;;;;;0.08;;1.83;
Carne, bovina, língua, crua;215;17.09;0;;65.02;0;Carnes e derivados;900.61;15.77;117.85;;0.78;5.04;15.3;0.02;163.57;1.7;73.05;250.71;0.09;2.87;;;;0.05;0.04;;1.18;
Carne, bovina, maminha, crua;153;20.93;0;;69.99;0;Carnes e derivados;639.17;7.03;50.8;;1.02;2.83;15.66;;181.32;1.15;37.42;273.66;0.03;3.48;3.18;3.18;3.18;0.12;0.08;0.03;4.27;
Carne, bovina, maminha, grelhada;153;30.74;0;;65.28;0;Carnes e derivados;640.53;2.42;87.7;;1.39;4.17;20.89;;237.48;2.43;58.12;386.42;0.08;5.58;;;;;0.04;0.13;1.46;
Carne, bovina, miolo de alcatra, sem gordura, cru;163;21.61;0;;69.49;0;Carnes e derivados;681.45;7.83;60.37;;1.01;3.19;20.02;0.01;165.09;1.97;43.05;298.74;0.06;2.96;3.52;3.52;3.52;0.12;0.07;;3.59;
Carne, bovina, miolo de alcatra, sem gordura, grelhado;241;31.93;0;;52.43;0;Carnes e derivados;1009.87;11.64;92.2;;1.22;4.51;25.97;0.02;279.24;3.17;51.62;385.11;0.11;4.82;;;;0.03;0.05;0.05;4.66;
Carne, bovina, músculo, sem gordura, cozido;194;31.23;0;;62.82;0;Carnes e derivados;810.86;6.7;56.15;;0.88;4.98;13.42;;175.7;2.36;61.79;252.56;0.08;6.44;1.91;1.91;1.91;;;;1.97;
Carne, bovina, músculo, sem gordura, cru;142;21.56;0;;72.35;0;Carnes e derivados;592.37;5.49;50.94;;0.99;3.64;17.45;;162.19;1.86;66.08;295.84;0.05;3.65;1.91;1.91;1.91;0.09;0.19;0.04;2.79;
Carne, bovina, paleta, com gordura, crua;159;21.41;0;;70.62;0;Carnes e derivados;664.04;7.46;58.26;;0.92;4.36;14.15;;157.6;1.76;64.9;249.68;0.08;3.65;;;;;0.04;,0,02;0.91;
Carne, bovina, paleta, sem gordura, cozida;194;29.72;0;;62.94;0;Carnes e derivados;810.24;7.4;55.61;;0.85;5.64;17.66;;197.45;2.17;57.62;249.81;0.1;6.82;;;;0.03;0.04;;2.16;
Carne, bovina, paleta, sem gordura, crua;141;21.03;0;;72.08;0;Carnes e derivados;589.7;5.67;42.25;;0.98;3.62;17.51;;163.36;1.93;65.86;319.43;0.05;3.34;3.27;3.27;3.27;0.13;0.21;;2.67;
Carne, bovina, patinho, sem gordura, cru;133;21.72;0;;72.91;0;Carnes e derivados;558.43;4.51;55.61;;1.01;3.3;20.1;0.01;170.37;1.78;49.13;317.61;0.05;4.47;1.51;1.51;1.51;0.11;0.08;;3.61;
Carne, bovina, patinho, sem gordura, grelhado;219;35.9;0;;55.15;0;Carnes e derivados;917.38;7.31;125.68;;1.3;4.8;27.26;0.02;288.84;3.03;60.29;420.96;0.12;8.09;;;;0.04;0.03;;3.01;
Carne, bovina, peito, sem gordura, cozido;338;22.25;0;;51.18;0;Carnes e derivados;1416.17;26.99;99.54;;0.72;4.03;13.87;;135.96;1.6;55.71;204.49;0.05;3.89;;;;;0.3;;4.54;
Carne, bovina, peito, sem gordura, cru;259;17.56;0;;61.49;0;Carnes e derivados;1084.81;20.43;59.3;;0.85;3.94;15.32;;124.36;1.31;63.76;241.4;0.06;2.63;4.25;4.25;4.25;0.11;0.07;0.03;3.91;
Carne, bovina, picanha, com gordura, crua;213;18.82;0;;65.64;0;Carnes e derivados;890.69;14.69;59.55;;0.93;2.42;14.22;;165.29;1.71;37.62;231.65;0.06;3.77;3.46;3.46;3.46;0.13;0.16;;4.77;
Carne, bovina, picanha, com gordura, grelhada;289;26.42;0;;53.39;0;Carnes e derivados;1208.2;19.51;91.76;;1.09;4;24;;246;3.2;60;355;0.14;5.5;;;;0.03;0.06;0.13;1.6;
Carne, bovina, picanha, sem gordura, crua;134;21.25;0;;72.42;0;Carnes e derivados;558.66;4.74;75.23;;1.01;3.39;20.25;;183.05;2.13;61.15;322.5;0.08;4.23;;;;;0.05;;1.89;
Carne, bovina, picanha, sem gordura, grelhada;238;31.91;0;;54.63;0;Carnes e derivados;997.75;11.33;99.71;;1.23;4.43;25.42;0.02;281.91;3.55;60.66;376.6;0.17;6.7;;;;;0.08;0.03;1.82;
Carne, bovina, seca, cozida;313;26.93;0;;47.19;0;Carnes e derivados;1308.75;21.93;100.14;;4.72;12.76;11.9;0.02;82.38;1.88;1943.18;86.03;0.03;7.7;;;;;0.06;;2.32;
Carne, bovina, seca, crua;313;19.66;0;;39.24;0;Carnes e derivados;1308.54;25.37;91.55;;15.29;14.11;12.22;0.01;100;1.33;4439.55;190.15;;3.65;;;;;0.07;;2.83;
Coxinha de frango, frita;283;9.61;34.52;;42.21;0;Carnes e derivados;1184.27;11.84;14.81;4.97;1.82;18.33;16.78;0.28;92.54;1.26;532.13;166.21;0.09;0.51;;;;0.09;;;2.6;
Croquete, de carne, cru;246;12.04;13.95;;55.96;0;Carnes e derivados;1028.31;15.56;29.85;;2.49;15.5;23.64;0.34;144.18;2.51;710.64;221.4;0.1;2.67;;;;0.11;0.04;;1.95;
Croquete, de carne, frito;347;16.86;18.15;;39.24;0;Carnes e derivados;1450.77;22.67;38.1;;3.08;18.09;29.52;0.39;176.26;2.31;916.41;313.02;0.09;3.3;;;;0.14;0.04;;4.77;
Empada de frango, pré-cozida, assada;358;6.94;47.49;;28.19;0;Carnes e derivados;1498.67;15.61;22.72;2.16;1.77;15.61;18.3;0.32;77.62;1.19;524.93;137.66;0.07;0.64;;;;0.12;;;; 
Empada, de frango, pré-cozida;377;7.34;35.53;;32.03;0;Carnes e derivados;1579.37;22.89;23.28;2.22;2.21;13.56;17.33;0.25;77.94;0.75;770.73;156.36;0.09;0.5;;;;0.11;;0.03;; 
Frango, asa, com pele, crua;213;18.1;0;;67.47;0;Carnes e derivados;891.98;15.07;113.45;;0.69;10.92;23.22;0.01;154.79;0.57;96.3;211.16;0.02;1.25;10.37;10.37;10.37;0.11;0.04;;2.58;
Frango, caipira, inteiro, com pele, cozido;243;23.88;0;;59.69;0;Carnes e derivados;1016.25;15.62;109.55;;0.8;16.76;18.35;0.01;161.94;1.66;56.09;210.01;0.08;1.7;16.16;16.16;16.16;0.03;;;6.33;
Frango, caipira, inteiro, sem pele, cozido;196;29.58;0;;61.42;0;Carnes e derivados;819.06;7.7;105.52;;1.09;66.14;23.17;0.02;209.6;2.12;53.24;223.59;0.15;2.66;6.05;6.05;6.05;0.03;0.03;;9.2;
Frango, coração, cru;222;12.58;0;;69.05;0;Carnes e derivados;926.77;18.6;159.24;;0.77;5.51;19.83;0.05;193.39;4.09;95.06;220.07;0.2;2.01;9.39;9.39;9.39;0.23;0.35;;3.39;
Frango, coração, grelhado;207;22.44;0.61;;63.51;0;Carnes e derivados;867.23;12.1;280.36;;1.35;8.35;20.12;0.06;275.78;6.53;128.24;242.69;0.3;3.45;;;;0.2;0.19;;9.7;
Frango, coxa, com pele, assada;215;28.49;0.06;;59.79;0;Carnes e derivados;900.06;10.36;145.48;;1.3;8.34;13.93;;251.35;1.22;94.84;318.11;0.05;2.55;5.97;5.97;5.97;0.05;0.05;;10.4;
Frango, coxa, com pele, crua;161;17.09;0;;72.85;0;Carnes e derivados;675.61;9.81;97.4;;0.83;8;25.81;0.02;185.34;0.7;94.96;274.73;0.03;1.97;10.02;10.02;10.02;0.16;0.05;;2.04;
Frango, coxa, sem pele, cozida;167;26.86;0;;66.66;0;Carnes e derivados;700.52;5.85;132.92;;0.87;11.78;11.14;;186.74;0.83;64.34;191.14;0.03;2.83;;;;0.07;;;8.2;
Frango, coxa, sem pele, crua;120;17.81;0.02;;76.42;0;Carnes e derivados;501.86;4.86;90.56;;0.89;7.97;27.23;0.02;196.48;0.78;98.37;291.19;0.03;2.24;11.66;11.66;11.66;0.17;0.05;;3.53;
Frango, fígado, cru;106;17.59;-0.02;;77.75;0;Carnes e derivados;445.53;3.49;340.58;;1.2;5.61;27.83;0.35;343.9;9.54;82.43;280.5;0.26;3.73;3863.33;3863.33;3863.33;0.62;0.56;;6.36;
Frango, filé, à milanesa;221;28.46;7.51;;54.89;0;Carnes e derivados;924.13;7.79;84.32;1.13;1.35;8.91;34.83;0.06;249.35;1.08;122.33;407.56;0.05;0.84;6.61;6.61;6.61;0.05;0.04;0.52;11.07;
Frango, inteiro, com pele, cru;226;16.44;0;;66.54;0;Carnes e derivados;946.92;17.31;84.84;;0.75;6.3;24.3;0.01;173.55;0.62;62.88;217.24;0.04;1.12;7;7;7;0.08;0.03;;3.28;
Frango, inteiro, sem pele, assado;187;28.03;0;;63.2;0;Carnes e derivados;783.82;7.5;110.94;;1.16;9.06;13.88;;232.94;0.55;70.27;283.27;0.03;1.58;;;;0.09;;;11.2;
Frango, inteiro, sem pele, cozido;170;24.99;0;;67.45;0;Carnes e derivados;712.91;7.06;98.93;;0.89;8.18;12.35;;193.67;0.46;50.89;216.53;0.04;1.24;;;;0.1;;;12.83;
Frango, inteiro, sem pele, cru;129;20.59;0;;74.86;0;Carnes e derivados;540.14;4.57;78.24;;0.93;6.52;27.04;0.01;190.48;0.54;72.96;237.68;0.03;1.24;3.67;3.67;3.67;0.12;0.03;;3.28;
Frango, peito, com pele, assado;212;33.42;0;;58.54;0;Carnes e derivados;885.68;7.65;109.03;;1.49;8.26;18.14;0.01;297.02;0.48;55.7;380.31;0.01;0.95;6.23;6.23;6.23;0.12;;;15.8;
Frango, peito, com pele, cru;149;20.78;0;;71.94;0;Carnes e derivados;625.36;6.73;79.93;;0.91;8.42;28.29;0.01;212.97;0.44;62.31;251.82;0.05;0.6;4;4;4;0.09;;;2.58;
Frango, peito, sem pele, cozido;163;31.47;0;;65.57;0;Carnes e derivados;681.47;3.16;88.51;;0.98;6.44;13.76;;224.43;0.34;36.17;231.05;0.02;0.95;;;;0.1;;;7.6;
Frango, peito, sem pele, cru;119;21.53;0;;74.79;0;Carnes e derivados;498.56;3.02;58.68;;0.97;7.36;31.26;0.01;222.03;0.43;56.14;267.09;0.03;0.66;2;2;2;0.1;;;5.86;
Frango, peito, sem pele, grelhado;159;32.03;0;;63.81;0;Carnes e derivados;666.03;2.48;89.12;;1.44;5.34;18.27;;295.01;0.33;50.25;387.37;0.02;0.78;;;;0.11;;;24.83;
Frango, sobrecoxa, com pele, assada;260;28.7;0;;55;0;Carnes e derivados;1086.19;15.19;158.26;;1.33;10.68;14.6;;252.23;1.21;95.94;323.07;0.06;2.17;8.22;8.22;8.22;0.1;0.05;;11.2;
Frango, sobrecoxa, com pele, crua;255;15.46;0;;63.58;0;Carnes e derivados;1064.96;20.9;87.63;;0.75;7.09;21.5;0.01;154.19;0.71;68.27;190.19;0.05;1.31;6.59;6.59;6.59;0.09;0.06;;3.4;
Frango, sobrecoxa, sem pele, assada;233;29.18;0;;55.63;0;Carnes e derivados;974.38;12.01;145.11;;1.49;12.25;17.23;;281.34;1.17;106.08;382.21;0.07;2.18;10.7;10.7;10.7;0.1;0.05;;10.2;
Frango, sobrecoxa, sem pele, crua;162;17.57;0;;72.71;0;Carnes e derivados;676.96;9.62;84.09;;0.88;6.29;26.33;0.02;187.29;0.9;79.75;241.09;0.06;1.67;3.92;3.92;3.92;0.12;0.06;;4.06;
Hambúrguer, bovino, cru;215;13.16;4.15;;63.6;0;Carnes e derivados;898.87;16.18;70.01;;2.91;34.06;24.52;0.36;140.72;1.89;869.46;382.59;0.16;1.7;;;;0.06;0.08;0.04;3.53;
Hambúrguer, bovino, frito;258;19.97;6.32;;52.46;0;Carnes e derivados;1080.66;17.01;48.9;;4.24;62.39;59.7;0.52;324.46;3.02;1251.8;660.09;0.17;3.18;;;;0.13;0.06;;2.73;
Hambúrguer, bovino, grelhado;210;13.16;11.33;;59.23;0;Carnes e derivados;877.94;12.43;58.53;;3.85;56.21;47.57;0.4;262.67;2.64;1090.33;537.56;0.18;3.02;;;;0.18;0.06;;5.77;
Lingüiça, frango, crua;218;14.24;0;;64.76;0;Carnes e derivados;912.57;17.44;64.13;;3.28;10.84;18.97;0.05;181.51;0.47;1125.81;279.73;0.05;0.69;;;;0.11;0.05;;4.6;
Lingüiça, frango, frita;245;18.32;0;;59.57;0;Carnes e derivados;1027.01;18.54;75.79;;3.79;15.48;29.19;0.1;262.07;0.79;1373.89;363.79;0.04;1.16;;;;0.11;0.05;;5.67;
Lingüiça, frango, grelhada;244;18.19;0;;58.58;0;Carnes e derivados;1019.47;18.4;80.48;;3.82;13.93;21.1;0.1;228.02;0.72;1351.49;356;0.09;1.03;;;;0.12;0.04;;5.97;
Lingüiça, porco, crua;227;16.06;0;;62.48;0;Carnes e derivados;950.62;17.58;52.93;;3.21;6.13;14.05;0.01;157.48;0.44;1175.72;316.33;0.04;1.36;;;;0.49;0.05;;2.6;
Lingüiça, porco, frita;280;20.45;0;;54.61;0;Carnes e derivados;1169.61;21.31;74.71;;3.86;8.48;18.22;0.01;210.78;0.87;1431.59;408.94;0.06;3.08;;;;0.41;0.07;;5.83;
Lingüiça, porco, grelhada;296;23.17;0;;50.48;0;Carnes e derivados;1240.51;21.9;81.7;;4;8.14;18.79;0.01;209.81;1.01;1455.86;426.6;0.07;3.48;;;;0.4;0.07;;6.6;
Mortadela;269;11.95;5.82;;56.44;0;Carnes e derivados;1124.74;21.65;82.76;;4.14;66.55;19.14;0.11;215.67;1.47;1212.17;247.28;0.08;1.02;24.55;;;0.14;0.06;;3;
Peru, congelado, assado;163;26.2;0;;65.32;0;Carnes e derivados;682.29;5.68;91.24;;2.23;13.84;11.54;0.02;197.36;0.59;627.88;175.12;0.03;1.21;;;;0.06;;;6.23;
Peru, congelado, cru;94;18.08;0;;78.18;0;Carnes e derivados;392.13;1.83;68.16;;2.46;9.88;18.84;;216.67;0.87;710.68;281.35;0.36;1.44;;;;0.06;;;4.23;
Porco, bisteca, crua;164;21.5;0;;67.7;0;Carnes e derivados;686.66;8.02;56.38;;0.99;6.11;24.07;;195.16;0.53;54.29;334.99;0.07;1.43;;;;0.9;;;2.65;
Porco, bisteca, frita;311;33.75;0;;47.33;0;Carnes e derivados;1301.93;18.52;126.3;;1.55;69.15;29.13;0.01;289.87;0.82;63.03;403.51;0.07;2.16;9.74;9.74;9.74;0.34;;;3.25;
Porco, bisteca, grelhada;280;28.89;0;;51.84;0;Carnes e derivados;1171.87;17.38;81.68;;1.25;34.31;24.74;;229.44;0.86;51.45;366.42;0.06;2.35;;;;0.77;0.14;0.03;1.92;
Porco, costela, assada;402;30.22;0;;36.92;0;Carnes e derivados;1682.67;30.28;112.86;;1.37;16.77;14.04;;200.78;1.04;62.68;245.97;0.07;3.1;;;;0.71;0.05;;10.63;
Porco, costela, crua;256;18;0;;61.21;0;Carnes e derivados;1069.46;19.82;68.83;;0.92;14.53;17.97;;159.08;0.9;87.98;248.23;0.05;2.27;;;;0.62;;;8.27;
Porco, lombo, assado;210;35.73;0;;56.56;0;Carnes e derivados;879.62;6.4;103.08;;1.37;19.51;18.14;;238.36;0.46;38.92;311.14;0.03;1.76;;;;0.75;0.07;0.11;12.43;
Porco, lombo, cru;176;22.6;0;;67.73;0;Carnes e derivados;734.82;8.77;55.39;;1.03;4.16;23.92;;194.52;0.47;53.07;334.38;0.01;0.93;;;;0.95;;;13.83;
Porco, orelha, salgada, crua;258;18.52;0;;59.67;0;Carnes e derivados;1081.53;19.89;83.01;;2.04;5.44;2.07;0.01;30.79;1.41;615.6;228.46;0.23;0.57;;;;0.07;0.03;;;
Porco, pernil, assado;262;32.13;0;;49.26;0;Carnes e derivados;1097.29;13.86;109.8;;1.45;17.59;27.35;0.01;247.09;1.25;62.41;395.19;0.09;3.25;;;;0.77;0.09;;6.57;
Porco, pernil, cru;186;20.13;0;;67.08;0;Carnes e derivados;778.46;11.1;58.69;;1.02;12.94;22.88;;192.48;0.89;101.89;255.58;0.16;1.73;;;;1.06;0.06;;5.67;
Porco, rabo, salgado, cru;377;15.58;0;;43.79;0;Carnes e derivados;1579.11;34.47;89.09;;3.5;21.63;3.6;0.01;42.39;0.62;1157.67;23.76;0.05;1.41;;;;0.2;0.06;;1.43;
Presunto, com capa de gordura;128;14.37;1.4;;73.95;0;Carnes e derivados;534.92;6.77;39.51;;3.51;12.48;17.04;0.04;273.87;0.68;1020.77;294.58;0.04;1.32;;;;0.62;0.03;;3.78;
Presunto, sem capa de gordura;94;14.29;2.15;;77.18;0;Carnes e derivados;392.22;2.71;35.77;;3.68;23.27;17.51;0.04;244.06;0.83;1039.19;307.3;0.04;1.46;;;;0.5;0.03;;4;
Quibe, assado;136;14.59;12.86;;69.02;0;Carnes e derivados;569.98;2.68;33.73;1.9;0.85;15.62;36.08;0.76;174.37;2.15;39.89;287.78;0.51;4.12;;;;0.04;0.04;;1.81;
Quibe, cru;109;12.35;10.77;;74.51;0;Carnes e derivados;458.11;1.67;26.93;1.65;0.7;12.09;25.69;0.39;125.79;1.65;38.77;241.74;0.13;2.75;;;;0.09;0.03;;1.2;
Quibe, frito;254;14.89;12.34;;53.96;0;Carnes e derivados;1062.03;15.8;37.77;;3.01;21.73;38.77;0.72;165.83;1.95;835.83;322.47;0.16;2.78;;;;0.12;0.1;;1.5;
Salame;398;25.81;2.91;;34.7;0;Carnes e derivados;1664.57;30.64;85.09;;5.94;87.02;29.92;0.03;354.27;1.25;1574.17;548;0.05;3.15;;;;0.88;0.23;;12.49;
Toucinho, cru;593;11.48;0;;27.61;0;Carnes e derivados;2479.15;60.26;73.08;;0.3;2.39;3.57;;35.36;0.44;49.59;57.57;0.11;0.21;;;;;;;5.1;
Toucinho, frito;697;27.28;0;;6.33;0;Carnes e derivados;2914.42;64.31;89.46;;0.73;9.44;9.46;0.01;94.72;0.87;124.85;170.86;0.1;0.84;;;;;;;5.03;
Bebida láctea, pêssego;55;2.13;7.57;;87.69;0;Leite e derivados;230.81;1.91;5.37;0.29;0.7;88.63;8.59;;63.1;;46.26;62.26;0.02;0.24;;;;0.03;0.14;;0.33;2.05
Creme de Leite;221;1.51;4.51;;70.89;0;Leite e derivados;926.69;22.48;66.48;;0.61;82.73;7.54;0.01;118.46;0.3;51.72;118.65;0.02;0.29;127.67;;;;0.1;;0;
Iogurte, natural;51;4.06;1.92;;90.04;0;Leite e derivados;215.43;3.04;13.78;;0.94;143.1;11.25;;119.04;;51.62;71.28;0.02;0.44;22.5;;;0.04;0.22;;;0.93
Iogurte, natural, desnatado;41;3.83;5.77;;89.22;0;Leite e derivados;173.61;0.32;3.33;;0.86;156.96;11.98;;109.68;;59.64;182.13;;0.51;;;;;0.22;;;0.35
Iogurte, sabor morango;70;2.71;9.69;;84.63;0;Leite e derivados;291.06;2.33;7.49;0.22;0.63;101.03;8.04;;73.48;;37.66;52.35;0.02;0.3;27.03;;;0.03;0.12;0.02;;
Iogurte, sabor pêssego;68;2.53;9.43;;85.06;0;Leite e derivados;283.88;2.34;8.4;0.72;0.64;95.05;7.96;;65.55;0.05;36.96;52.09;0.02;0.3;21.28;;;0.02;0.1;;0.38;
Leite, condensado;313;7.67;57;;26.96;0;Leite e derivados;1307.8;6.74;27.64;;1.63;246.27;21.98;;187.18;0.13;93.8;328.93;0.03;0.86;52.95;;;0.06;0.33;0.57;;2.14
Leite, de cabra;66;3.07;5.25;;87.07;0;Leite e derivados;277.88;3.75;13.99;;0.86;112.25;9.8;;113.2;0.1;73.95;139.99;0.04;0.35;34.74;;;;0.14;;;
Leite, de vaca, achocolatado;83;2.1;14.16;;80.89;0;Leite e derivados;346.52;2.17;6.08;0.65;0.68;69.79;12.88;0.05;70.87;0.46;71.74;155.24;0.04;0.31;38.94;;;0.07;0.29;0.14;1.23;3.26
Leite, de vaca, desnatado, pó;362;34.69;53.04;;3.1;0;Leite e derivados;1512.97;0.93;24.79;;8.23;1363.17;108.71;;1673.43;0.93;431.67;1555.66;0.16;3.84;299.46;;;0.32;1.2;;0.81;
Leite, de vaca, integral, pó;497;25.42;39.18;;2.7;0;Leite e derivados;2077.98;26.9;85.26;;5.8;890.27;77.43;;1242.28;0.52;323.2;1131.66;0.11;2.73;361.06;;;0.24;1.03;;;
Leite, fermentado;70;1.89;15.67;;81.88;0;Leite e derivados;291.3;0.1;1.85;;0.45;71.53;6.23;0.02;62.81;;33.43;94.48;0.01;0.26;;;;0.08;0.11;;;0.49
Queijo, minas, frescal;264;17.41;3.24;;56.12;0;Leite e derivados;1105.72;20.18;62;;3.04;579.25;6.88;0.02;123.31;0.93;31.23;104.85;;0.29;160.51;;;;0.25;;;
Queijo, minas, meia cura;321;21.21;3.57;;47.12;0;Leite e derivados;1341.9;24.61;76.3;;3.49;695.92;27.07;0.02;402.53;0.22;501.17;119.98;0.07;2.68;111.33;;;0.03;0.32;;;
Queijo, mozarela;330;22.65;3.05;;45.34;0;Leite e derivados;1380.18;25.18;79.58;;3.78;875.04;23.57;0.03;470;0.31;581.36;61.89;0.08;3.52;109;;;;0.2;;;
